Lead_ID,First_Name,Last_Name,Email,Phone_Number,City,Region,Country,Total_Visits,First_Visit_Date,Last_Visit_Date,Avg_Time_Spent_Sec,Total_Time_Spent_Sec,Pages_Viewed,Active_Time_Window,Product_Pages_Viewed,Primary_Product_Page,Primary_Product_Category,Primary_Product_Value,Cart_Value,Added_To_Cart,Purchased,Purchase_Value,Lead_Source,UTM_Campaign,Engagement_Score,Bounce_Rate,New_vs_Returning,Last_Engaged_Page,Newsletter_Subscribed,WhatsApp_OptIn,Device_Type,Browser,Last_Contact_Date,Lead_Status
L001,Ajay,Sharma,ajay.sharma@email.com,9876543210,Mumbai,Maharashtra,India,5,15-01-2025,10-03-2025,245,1225,8,09:00-17:00,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg|https://theobroma.in/products/chocoholic-cake-1-2-kg,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,Cakes,950,2400,Yes,No,0,Organic Search,cakes-search,75,5,Returning,https://theobroma.in/products/fresh-cream-pineapple-cake-1-kg,Yes,No,Mobile,Chrome,10-03-2025,Qualified
L002,Preeti,Gupta,preeti.gupta@email.com,9123456789,Bengaluru,Karnataka,India,12,20-12-2024,09-03-2025,320,3840,15,10:00-18:00,https://theobroma.in/products/choco-chip-brownie|https://theobroma.in/products/overload-brownie|https://theobroma.in/products/dutch-truffle-cake-1-2-kg,https://theobroma.in/products/choco-chip-brownie,Brownies,450,3200,Yes,Yes,4500,Direct,brownie-campaign,85,3,Returning,https://theobroma.in/products/choco-chip-brownie,Yes,Yes,Desktop,Safari,09-03-2025,Customer
L003,Rohit,Patel,rohit.patel@email.com,8765432109,Ahmedabad,Gujarat,India,3,01-02-2025,08-03-2025,180,540,5,11:00-15:00,https://theobroma.in/products/blueberry-cheesecake-cup,https://theobroma.in/products/blueberry-cheesecake-cup,Desserts,350,1050,Yes,No,0,Facebook,desserts-fb,55,8,New,https://theobroma.in/products/blueberry-cheesecake-cup,No,No,Mobile,Chrome,08-03-2025,Active
L004,Neha,Kumar,neha.kumar@email.com,9456123456,Delhi,Delhi,India,8,05-01-2025,07-03-2025,290,2320,12,09:00-19:00,https://theobroma.in/products/red-velvet-cake-1-2-kg|https://theobroma.in/products/tiramisu-cup-110g,https://theobroma.in/products/red-velvet-cake-1-2-kg,Cakes,750,2100,Yes,Yes,3500,Social Media,red-velvet-sale,78,4,Returning,https://theobroma.in/products/red-velvet-cake-1-2-kg,Yes,Yes,Mobile,Chrome,07-03-2025,Customer
L005,Ravi,Singh,ravi.singh@email.com,9012345678,Pune,Maharashtra,India,6,20-01-2025,06-03-2025,210,1260,9,14:00-20:00,https://theobroma.in/products/eggless-choco-chip-brownie|https://theobroma.in/products/millionaire-brownie,https://theobroma.in/products/eggless-choco-chip-brownie,Brownies,400,1800,Yes,No,0,Email Campaign,brownie-mail,65,6,Returning,https://theobroma.in/products/eggless-choco-chip-brownie,Yes,No,Tablet,Chrome,06-03-2025,Lead
L006,Megha,Reddy,megha.reddy@email.com,8899112233,Hyderabad,Telangana,India,4,10-02-2025,05-03-2025,260,1040,7,10:00-14:00,https://theobroma.in/products/chocoholic-mousse-pastry,https://theobroma.in/products/chocoholic-mousse-pastry,Pastries,280,560,No,No,0,Direct,navigation,48,12,New,https://theobroma.in/collections/pastry,No,No,Mobile,Safari,05-03-2025,Lead
L007,Akshay,Mishra,akshay.mishra@email.com,9234567890,Chennai,Tamil Nadu,India,9,15-12-2024,04-03-2025,305,2745,14,08:00-16:00,https://theobroma.in/products/hazelnut-praline-mousse-cake-1-2-kg|https://theobroma.in/products/dutch-truffle-cake-1-kg,https://theobroma.in/products/hazelnut-praline-mousse-cake-1-2-kg,Cakes,850,3400,Yes,Yes,5200,Social Media,cake-discovery,82,3,Returning,https://theobroma.in/products/hazelnut-praline-mousse-cake-1-2-kg,Yes,Yes,Desktop,Chrome,04-03-2025,Customer
L008,Pooja,Nair,pooja.nair@email.com,9567890123,Cochin,Kerala,India,7,18-01-2025,03-03-2025,275,1925,11,15:00-21:00,https://theobroma.in/products/chocolate-cupcake|https://theobroma.in/products/red-velvet-cupcake,https://theobroma.in/products/chocolate-cupcake,Desserts,180,720,Yes,No,0,Instagram,cupcakes-ig,62,7,Returning,https://theobroma.in/products/chocolate-cupcake,No,Yes,Mobile,Chrome,03-03-2025,Lead
L009,Vikram,Joshi,vikram.joshi@email.com,8765012345,Nagpur,Maharashtra,India,2,25-02-2025,02-03-2025,150,300,3,19:00-22:00,https://theobroma.in/products/walnut-brownie,https://theobroma.in/products/walnut-brownie,Brownies,380,380,No,No,0,Google Ads,brownie-ads,35,25,New,https://theobroma.in/products/walnut-brownie,No,No,Mobile,Chrome,02-03-2025,Lead
L010,Divya,Chattopadhyay,divya.chattopadhyay@email.com,9890123456,Kolkata,West Bengal,India,11,10-12-2024,01-03-2025,345,3795,18,09:00-20:00,https://theobroma.in/products/banoffee-tart|https://theobroma.in/products/lemon-tart|https://theobroma.in/products/choco-caramel-tart,https://theobroma.in/products/banoffee-tart,Desserts,320,2560,Yes,Yes,2800,Social Media,tarts-campaign,88,2,Returning,https://theobroma.in/products/banoffee-tart,Yes,Yes,Desktop,Edge,01-03-2025,Customer
L011,Sumit,Verma,sumit.verma@email.com,9234512345,Jaipur,Rajasthan,India,10,28-12-2024,28-02-2025,280,2800,13,10:00-16:00,https://theobroma.in/products/eggless-dutch-truffle-cake-1-2-kg|https://theobroma.in/products/chocolate-strawberry-bento-cake,https://theobroma.in/products/eggless-dutch-truffle-cake-1-2-kg,Cakes,800,2800,Yes,Yes,3500,Email Campaign,cake-newsletter,72,5,Returning,https://theobroma.in/products/eggless-dutch-truffle-cake-1-2-kg,Yes,Yes,Desktop,Chrome,28-02-2025,Customer
L012,Riya,Sharma,riya.sharma@email.com,9567234567,Lucknow,Uttar Pradesh,India,5,30-01-2025,27-02-2025,200,1000,7,18:00-22:00,https://theobroma.in/products/tiramisu-cake-660g|https://theobroma.in/products/opera-cake-660g,https://theobroma.in/products/tiramisu-cake-660g,Cakes,920,1800,Yes,No,0,Social Media,cake-social,68,8,Returning,https://theobroma.in/products/tiramisu-cake-660g,No,Yes,Mobile,Chrome,27-02-2025,Lead
L013,Anurag,Mehta,anurag.mehta@email.com,8901234567,Gurgaon,Haryana,India,4,05-02-2025,26-02-2025,150,600,4,09:00-11:00,https://theobroma.in/products/cookie-brownie,https://theobroma.in/products/cookie-brownie,Brownies,420,420,No,No,0,Direct,navigation,40,20,New,https://theobroma.in/collections/brownies,No,No,Mobile,Chrome,26-02-2025,Lead
L014,Nitin,Kapoor,nitin.kapoor@email.com,9345678901,Noida,Uttar Pradesh,India,7,25-01-2025,25-02-2025,310,2170,12,08:00-18:00,https://theobroma.in/products/blueberry-cheesecake|https://theobroma.in/products/new-york-style-baked-cheesecake-500g,https://theobroma.in/products/blueberry-cheesecake,Cakes,1200,3200,Yes,Yes,4800,Google Ads,premium-cakes,80,4,Returning,https://theobroma.in/products/blueberry-cheesecake,Yes,Yes,Desktop,Chrome,25-02-2025,Customer
L015,Swati,Misra,swati.misra@email.com,9012567890,Indore,Madhya Pradesh,India,6,08-02-2025,24-02-2025,220,1320,9,12:00-20:00,https://theobroma.in/products/chocolate-chip-cookies,https://theobroma.in/products/chocolate-chip-cookies,Biscuits,150,750,Yes,No,0,Instagram,cookies-ig,58,10,Returning,https://theobroma.in/products/chocolate-chip-cookies,No,No,Mobile,Safari,24-02-2025,Active
L016,Arjun,Dasgupta,arjun.dasgupta@email.com,8765890123,Kanpur,Uttar Pradesh,India,3,15-02-2025,23-02-2025,160,480,5,15:00-18:00,https://theobroma.in/products/eggless-millionaire-brownie,https://theobroma.in/products/eggless-millionaire-brownie,Brownies,390,390,No,No,0,Google Ads,brownie-ads-2,42,15,New,https://theobroma.in/products/eggless-millionaire-brownie,No,No,Mobile,Chrome,23-02-2025,Lead
L017,Vaida,Saxena,vaida.saxena@email.com,9456789012,Varanasi,Uttar Pradesh,India,8,10-01-2025,22-02-2025,290,2320,14,10:00-14:00,https://theobroma.in/products/fresh-fruit-cream-cake|https://theobroma.in/products/lotus-biscoff-bento-cheesecake,https://theobroma.in/products/fresh-fruit-cream-cake,Cakes,980,3500,Yes,Yes,5000,Facebook,fruit-cakes-fb,77,5,Returning,https://theobroma.in/products/fresh-fruit-cream-cake,Yes,Yes,Desktop,Chrome,22-02-2025,Customer
L018,Manisha,Tripathi,manisha.tripathi@email.com,9123890456,Meerut,Uttar Pradesh,India,9,30-12-2024,21-02-2025,330,2970,16,09:00-19:00,https://theobroma.in/products/eggless-cookie-brownie|https://theobroma.in/products/assorted-eggless-brownies-box-12-pcs,https://theobroma.in/products/eggless-cookie-brownie,Brownies,410,3100,Yes,Yes,4200,Email Campaign,brownie-bundle,79,3,Returning,https://theobroma.in/products/eggless-cookie-brownie,Yes,Yes,Mobile,Chrome,21-02-2025,Customer
L019,Rajesh,Ray,rajesh.ray@email.com,8890456123,Vadodara,Gujarat,India,5,01-02-2025,20-02-2025,210,1050,8,13:00-17:00,https://theobroma.in/products/butter-palmiers-60g,https://theobroma.in/products/butter-palmiers-60g,Pastries,120,600,Yes,No,0,Direct,navigation,50,12,New,https://theobroma.in/collections/croissants-danishes,No,No,Mobile,Chrome,20-02-2025,Lead
L020,Kerala,Nambiar,kerala.nambiar@email.com,9234567812,Thiruvananthapuram,Kerala,India,11,05-12-2024,19-02-2025,350,3850,19,08:00-20:00,https://theobroma.in/products/dense-loaf-350g|https://theobroma.in/products/baked-wada-pao,https://theobroma.in/products/dense-loaf-350g,Breads,180,2100,Yes,Yes,3200,Organic Search,breads-seo,84,2,Returning,https://theobroma.in/products/dense-loaf-350g,Yes,Yes,Desktop,Chrome,19-02-2025,Customer
L021,Priya,Vinay,priya.vinay@email.com,9876543299,Surat,Gujarat,India,7,15-01-2025,18-02-2025,265,1855,11,14:00-20:00,https://theobroma.in/products/vanilla-blueberry-cupcake,https://theobroma.in/products/vanilla-blueberry-cupcake,Desserts,200,1200,Yes,No,0,Facebook,cupcake-fb,61,9,Returning,https://theobroma.in/products/vanilla-blueberry-cupcake,No,Yes,Mobile,Chrome,18-02-2025,Active
L022,Sanjay,Bhatt,sanjay.bhatt@email.com,8765432287,Rajkot,Gujarat,India,2,20-02-2025,17-02-2025,145,290,3,10:00-12:00,https://theobroma.in/products/chocolate-mousse-jar-100g,https://theobroma.in/products/chocolate-mousse-jar-100g,Desserts,180,180,No,No,0,Direct,navigation,30,30,New,https://theobroma.in/collections/desserts-cupcakes,No,No,Mobile,Chrome,17-02-2025,Lead
