User ID,Name,Email,Phone Number,Age,Gender,City,State,No. of Visits,Total Time Spent (hrs),Last Visit Date,Last Visit Time,Search Engine,Device Type,Browser,OS,Landing Page,Product Name,Product Category,Product Price (INR),MRP (INR),Discount %,Product Page Link,Product Rating,No. of Reviews,Time Spent on Page (min),Pages Visited,Bounce,Cart Added,Checkout Initiated,Purchase Made,Payment Method,Session Duration (min),Source/Medium,UTM Campaign,UTM Source,UTM Medium,UTM Term,Referrer URL,IP Address (Masked),User Agent,Cookie ID
U1001,Rahul Sharma,rahul.sharma92@gmail.com,9876543210,26,Male,Mumbai,Maharashtra,12,15.5,15-Mar-2026,14:32,Google,Mobile,Chrome,Android 14,/home,boAt Airdopes 161,True Wireless Earbuds,999,2490,60,https://www.boat-lifestyle.com/products/airdopes-161,4.8,519,8.5,23,0,1,0,0,22.4,organic / organic,- - -,Mozilla/5.0 (Linux; Android 14),ck_a8f3e2b1c4d5,,,,,,
U1002,Priya Patel,priya.patel23@gmail.com,9123456789,24,Female,Thane,Maharashtra,8,9.2,14-Mar-2026,18:45,Google,Mobile,Chrome,Android 13,/collections/smart-watches,boAt Storm Call 3,Smartwatch,1399,8499,84,https://www.boat-lifestyle.com/products/storm-call-3-smartwatch,4.7,30,6.2,18,0,1,1,1,UPI,31.5,cpc / paid_search,festive_sale,facebook,ad,black_friday,https://www.google.com,14.82.xxx.xxx,Mozilla/5.0 (Windows NT 10.0; Win64),ck_b9e4f5a2d6c7
U1003,Arjun Verma,arjun.verma78@gmail.com,8765432109,28,Male,Pune,Maharashtra,15,22.7,16-Mar-2026,1:15,Google,Desktop,Firefox,Windows 11,/home,boAt Airdopes Supreme,True Wireless Earbuds,1399,5990,77,https://www.boat-lifestyle.com/products/airdopes-supreme-long-playback-earbuds,4.8,191,12.3,35,0,1,1,1,Credit Card,45.8,direct / direct,- - -,192.168.xxx.xxx,Mozilla/5.0 (X11; Linux x86_64),ck_c2d8a9b3e5f1,,,,
U1004,Sneha Reddy,sneha.reddy45@gmail.com,7654321098,23,Female,Hyderabad,Telangana,6,7.8,13-Mar-2026,20:30,Bing,Mobile,Safari,iOS 18,/collections/daily-deals,boAt Stone 350,Wireless Speaker,1499,3490,57,https://www.boat-lifestyle.com/products/stone-350,4.8,167,5.4,12,1,0,0,0,18.6,referral / social,instagram.com,106.78.xxx.xxx,Mozilla/5.0 (iPhone; CPU iPhone OS 18),ck_d3e9b1c7f4a8,,,,,
U1005,Vikram Singh,vikram.singh11@gmail.com,6543210987,29,Male,Delhi,Delhi,10,13.4,15-Mar-2026,11:20,Google,Tablet,Chrome,Android 14,/collections/bluetooth-neckbands,boAt Rockerz 110,Neckband,799,2490,68,https://www.boat-lifestyle.com/products/rockerz-110,4.8,239,9.1,21,0,1,1,1,UPI,38.2,organic / organic,https://www.google.hcom,117.221.xxx.xxx,Mozilla/5.0 (Linux; Android 14),ck_e4f1c8d2a9b3,,,,
U1006,Anjali Gupta,anjali.gupta67@gmail.com,5432109876,25,Female,Jaipur,Rajasthan,4,5.6,12-Mar-2026,16:55,Yahoo,Mobile,Chrome,Android 13,/home,boAt Rockerz 412,Wireless Headphones,1299,2999,57,https://www.boat-lifestyle.com/products/boat-rockerz-412-wireless-headphones,4.7,36,7.8,14,0,1,0,0,15.9,social / organic,instagram,instagram.com,203.123.xxx.xxx,Mozilla/5.0 (Linux; Android 13),ck_f5a2d9e3b1c8,,,,
U1007,Rohan Mehta,rohan.mehta34@gmail.com,4321098765,27,Male,Bangalore,Karnataka,18,28.3,16-Mar-2026,0:45,Google,Desktop,Edge,Windows 11,/collections/new-launches,boAt Airdopes 181 Pro,True Wireless Earbuds,1299,4990,74,https://www.boat-lifestyle.com/products/airdopes-181-pro-bluetooth-earbuds,4.7,88,11.5,28,0,1,1,1,NetBanking,52.4,direct / direct,boatholiday,google,paid,best_earbuds,- - -,182.64.xxx.xxx,Mozilla/5.0 (Windows NT 10.0),ck_a1b2c3d4e5f6
U1008,Divya Iyer,divya.iyer89@gmail.com,3210987654,30,Female,Chennai,Tamil Nadu,7,10.2,14-Mar-2026,19:10,Google,Mobile,Chrome,Android 15,/collections/smart-watches,boAt Wave Fury,Smartwatch,1399,6999,80,https://www.boat-lifestyle.com/products/wave-fury-bluetooth-smartwatch,4.9,17,6.7,16,0,1,1,0,27.3,cpc / paid_search,smartwatch_promo,facebook,ad,fitness_watch,- - -,49.37.xxx.xxx,Mozilla/5.0 (Linux; Android 15),ck_b2c3d4e5f6a1,
U1009,Karan Joshi,karan.joshi56@gmail.com,2109876543,26,Male,Ahmedabad,Gujarat,9,11.8,13-Mar-2026,17:40,Google,Mobile,Chrome,Android 14,/collections/daily-deals,boAt Airdopes Prime 701 ANC,True Wireless Earbuds,2099,7990,74,https://www.boat-lifestyle.com/products/airdopes-prime-701-anc-wireless-earbuds,4.7,16,10.2,19,0,1,1,1,UPI,34.6,organic / organic,https://www.google.com,157.44.xxx.xxx,Mozilla/5.0 (Linux; Android 14),ck_c3d4e5f6a1b2,,,,
U1010,Neha Kapoor,neha.kapoor91@gmail.com,1098765432,32,Female,Noida,Uttar Pradesh,11,14.9,15-Mar-2026,21:05,Google,Desktop,Chrome,Windows 10,/home,boAt Rockerz 650 Pro,Wireless Headphones,2799,8990,69,https://www.boat-lifestyle.com/products/rockerz-650-pro,4.8,29,13.4,31,0,1,1,1,Credit Card,41.2,direct / direct,winter_sale,google,paid,wireless_headphones,- - -,103.12.xxx.xxx,Mozilla/5.0 (Windows NT 10.0; Win64),ck_d4e5f6a1b2c3
