lead_id,name,company,title,industry,region,website_visits,pages_per_visit,time_on_site,content_downloads,lead_source,converted,stage
L00001,Jordan Sweeney,Farrell Group,Marketing Manager,Manufacturing,North America,14,14.0,1595,0,Direct Traffic,0,Closed Lost
L00002,Holly Rogers,Hughes-Ramos,Sales Director,Consulting,Oceania,4,4.0,296,1,Direct Traffic,0,Closed Won
L00003,Lisa Oneal,"Wright, Flores and Reyes",VP of Marketing,Technology,Asia,6,6.0,179,1,Google,0,Negotiation
L00004,Tiffany Rodriguez,Peterson Group,Growth Lead,Healthcare,Oceania,0,0.0,0,0,Reference,1,Closed Lost
L00005,Kevin Fisher,Rodriguez Ltd,VP of Marketing,Consulting,Asia,0,0.0,0,0,Olark Chat,0,Prospecting
L00006,Matthew Blevins,King-Wood,Growth Lead,Software,Africa,6,3.0,529,1,Google,0,Prospecting
L00007,Karen Barry,"Wilson, Clark and Jenkins",Head of Sales,Consulting,Europe,0,0.0,0,0,Olark Chat,0,Prospecting
L00008,Stephanie Bryan,"Smith, Taylor and Wilson",VP of Marketing,Retail,Asia,3,3.0,256,1,Direct Traffic,1,Closed Lost
L00009,Katelyn Scott,"Jones, Calhoun and Cox",Head of Sales,Software,Asia,3,3.0,280,0,Google,0,Prospecting
L00010,Amanda Wilson MD,"Graham, Carter and Cook",Sales Director,Consulting,Asia,3,1.5,91,0,Google,0,Closed Won
L00011,Clifford Bond,Owens PLC,Business Development Executive,Healthcare,Oceania,2,1.0,216,0,Organic Search,0,Prospecting
L00012,Christina Nelson,Washington-Graves,Sales Director,Software,Europe,14,1.27,1747,1,Organic Search,0,Negotiation
L00013,Tracy Robertson,Herring and Sons,Head of Sales,Manufacturing,North America,4,4.0,1134,0,Organic Search,0,Prospecting
L00014,Angela Potter,"Baker, Higgins and Brewer",Account Manager,Technology,Africa,4,4.0,1068,0,Direct Traffic,1,Proposal
L00015,Danielle King,Torres Group,Account Manager,Software,Europe,14,2.8,1424,0,Google,1,Closed Lost
L00016,Matthew Miller,Levy Inc,Growth Lead,Healthcare,Oceania,6,6.0,453,1,Organic Search,0,Proposal
L00017,Christopher Carter,Williams LLC,Account Manager,Consulting,Oceania,10,5.0,556,0,Google,1,Proposal
L00018,Cindy Hill,"Baker, Ellis and Little",Sales Director,Healthcare,Oceania,10,5.0,1246,0,Google,0,Negotiation
L00019,Ross Wood,Huffman LLC,Head of Sales,Software,Europe,3,3.0,89,0,Google,0,Closed Won
L00020,Eduardo Bryant,Richards Group,Sales Director,Healthcare,Europe,0,0.0,0,0,Olark Chat,1,Proposal
L00021,Roger Gonzalez,"Adams, Santiago and Padilla",Growth Lead,Retail,Oceania,0,0.0,0,0,Reference,1,Qualification
L00022,Andrew Clark,Dixon-Johnson,Account Manager,Consulting,Europe,2,2.0,848,1,Direct Traffic,0,Proposal
L00023,Adam Bell,"Vincent, Evans and Ryan",Head of Sales,Finance,Asia,0,0.0,0,1,Olark Chat,0,Negotiation
L00024,Elizabeth Reyes,Jones-Boyd,VP of Marketing,Technology,Oceania,4,2.0,160,2,Direct Traffic,0,Qualification
L00025,Brett May,Bell and Sons,Sales Director,Finance,Asia,5,2.5,1229,0,Organic Search,1,Closed Lost
L00026,Jennifer Ferguson,"Moreno, Ashley and Guzman",Business Development Executive,Finance,Asia,5,5.0,218,1,Google,0,Proposal
L00027,Tammy Allen MD,Sanchez and Sons,Revenue Ops Analyst,Retail,North America,1,1.0,479,0,Direct Traffic,0,Closed Won
L00028,Patricia Flores,"West, Johnson and Little",Revenue Ops Analyst,Technology,Europe,2,2.0,203,3,Google,0,Closed Lost
L00029,Melissa White,Parks-Hernandez,Head of Sales,Consulting,Oceania,2,2.0,1426,1,Google,1,Closed Won
L00030,Daniel Murphy,Jones-Dominguez,Account Manager,Finance,North America,2,1.0,397,0,Google,0,Prospecting
L00031,Wendy Carlson,Lopez-Perez,Head of Sales,Software,Europe,0,0.0,0,0,Olark Chat,1,Closed Lost
L00032,Christopher Robinson,"Reynolds, Daniel and Wagner",Business Development Executive,Retail,South America,0,0.0,0,0,Olark Chat,0,Prospecting
L00033,Robert Gibson,Watson and Sons,Sales Director,Manufacturing,Asia,7,2.33,243,1,Direct Traffic,1,Closed Won
L00034,Kathleen Schultz,"Ruiz, Johnson and Allen",Sales Director,Retail,Asia,5,5.0,406,1,Google,0,Prospecting
L00035,James Jordan,Walker PLC,Sales Director,Retail,Asia,0,0.0,0,1,Reference,0,Closed Lost
L00036,Laura Hill,Hughes and Sons,Marketing Manager,Retail,North America,0,0.0,0,0,Olark Chat,0,Closed Won
L00037,Jessica Campbell,"Oneill, Cruz and Hurst",Head of Sales,Software,Oceania,5,1.67,271,0,Google,0,Proposal
L00038,Jennifer Clayton,Anderson Inc,Chief Product Officer,Technology,Europe,0,0.0,0,0,Reference,1,Proposal
L00039,Ann Miller,"White, Weaver and Howard",Business Development Executive,Manufacturing,Oceania,2,2.0,31,0,Google,0,Prospecting
L00040,Heidi Barajas,Wilson-Smith,VP of Marketing,Software,North America,2,2.0,217,0,Direct Traffic,0,Negotiation
L00041,Margaret Campos,Johnson PLC,Sales Director,Retail,Europe,2,2.0,1349,0,Google,1,Negotiation
L00042,Ryan Koch,Thomas-Young,Growth Lead,Manufacturing,Europe,5,2.5,51,0,Google,0,Closed Won
L00043,Rose Hernandez,"Glenn, Russell and Roberts",Business Development Executive,Software,Asia,2,2.0,422,0,Direct Traffic,0,Qualification
L00044,Linda Vaughan,Howell-Hill,Sales Director,Technology,South America,4,2.0,127,0,Google,0,Closed Lost
L00045,Kelly Crosby,Parks-Thompson,Revenue Ops Analyst,Finance,Asia,2,2.0,289,2,Google,0,Proposal
L00046,Evan Larson,Cameron-Floyd,Growth Lead,Technology,Asia,6,3.0,457,0,Google,0,Qualification
L00047,Calvin Bass,Weber PLC,Business Development Executive,Finance,South America,6,6.0,1505,0,Referral Sites,1,Closed Won
L00048,Robert Hill,Andrade-Raymond,Sales Director,Finance,Europe,3,3.0,1040,0,Google,1,Proposal
L00049,Deborah Murphy,"Miranda, Perez and Parker",Sales Director,Finance,Oceania,15,7.5,1000,1,Direct Traffic,1,Closed Lost
L00050,Isabel Garrison,Willis-Mays,Business Development Executive,Healthcare,Africa,3,1.5,170,0,Google,1,Negotiation
L00051,Emily Martinez,Fleming-Payne,Business Development Executive,Technology,Asia,3,3.0,1234,1,Direct Traffic,0,Closed Lost
L00052,Andrea Ramirez,"Long, Mcmillan and Peterson",Growth Lead,Consulting,North America,3,3.0,11,1,Organic Search,0,Qualification
L00053,John Baker,"Floyd, Martinez and Strickland",Growth Lead,Consulting,Oceania,0,0.0,0,0,Olark Chat,0,Qualification
L00054,Maria Palmer,"Parker, Buchanan and Jones",Head of Sales,Technology,Asia,4,4.0,345,0,Google,0,Qualification
L00055,Melissa Sanders,Alvarez PLC,Revenue Ops Analyst,Software,South America,5,1.25,13,0,Direct Traffic,0,Closed Lost
L00056,Justin Jackson,Elliott-Miller,Head of Sales,Finance,Asia,7,3.5,964,0,Google,1,Qualification
L00057,Tina Murphy,Johnson Inc,Sales Director,Healthcare,North America,3,1.0,887,1,Google,1,Closed Lost
L00058,Tonya Campbell,"Callahan, Thomas and Howard",VP of Marketing,Manufacturing,Asia,5,5.0,110,0,Organic Search,0,Closed Won
L00059,Joshua Hall,"Larson, Berry and Lee",Sales Director,Technology,Europe,2,2.0,321,0,Direct Traffic,1,Proposal
L00060,Alexander Blackwell,"Keller, Myers and Ward",VP of Marketing,Manufacturing,Asia,4,1.0,1219,1,Google,1,Negotiation
L00061,Bryan Jones,Martinez Group,VP of Marketing,Retail,North America,3,3.0,238,0,Direct Traffic,0,Proposal
L00062,Brittany Hayes,"Rogers, Patterson and Lam",Marketing Manager,Finance,Oceania,9,3.0,1063,1,Organic Search,0,Qualification
L00063,Molly Thomas,"Luna, Tran and Anderson",VP of Marketing,Technology,Oceania,4,2.0,92,0,Organic Search,0,Qualification
L00064,Erin Saunders,"Russell, Lin and Baker",Head of Sales,Retail,Oceania,8,8.0,40,0,Organic Search,0,Qualification
L00065,Dr. Sarah Conrad,"Martin, Henry and Davis",Chief Product Officer,Healthcare,Oceania,0,0.0,0,1,Olark Chat,0,Closed Lost
L00066,Brandy Cox,Contreras-Reid,Marketing Manager,Manufacturing,South America,4,4.0,324,0,Google,1,Qualification
L00067,Joann Carey,"Ingram, Kidd and Fields",Account Manager,Software,Asia,3,3.0,179,1,Google,0,Prospecting
L00068,Tiffany Brown,Brown-Thomas,Sales Director,Healthcare,Europe,0,0.0,0,0,Olark Chat,0,Closed Lost
